,AS
0,0.8333333333333334
1,0.8333333333333334
2,0.8095238095238095
3,0.8095238095238095
4,0.8809523809523809
5,1.0
6,0.7142857142857143
7,0.7380952380952381
8,0.8333333333333334
9,0.6904761904761905
10,0.8809523809523809
11,0.7619047619047619
12,1.0
13,1.0
14,1.0
15,0.7857142857142857
16,0.8333333333333334
17,0.8333333333333334
18,0.9047619047619048
19,0.7619047619047619
20,1.0
21,0.9285714285714286
22,0.7857142857142857
23,0.8333333333333334
24,0.9047619047619048
25,0.8809523809523809
26,0.8571428571428571
27,0.7857142857142857
28,0.7857142857142857
29,1.0
30,0.8571428571428571
31,0.7619047619047619
32,0.7142857142857143
33,0.7142857142857143
34,0.7380952380952381
35,0.8809523809523809
36,0.8571428571428571
37,0.8333333333333334
38,0.8333333333333334
39,0.7380952380952381
40,0.7142857142857143
41,0.7857142857142857
42,0.7380952380952381
43,0.9047619047619048
44,0.8809523809523809
45,0.8095238095238095
46,0.7619047619047619
47,0.7619047619047619
48,0.7619047619047619
49,0.7142857142857143
50,1.0
51,0.8333333333333334
52,0.8333333333333334
53,0.7380952380952381
54,1.0
55,0.8095238095238095
56,0.8571428571428571
57,0.8095238095238095
58,0.7619047619047619
59,0.8333333333333334
60,0.8571428571428571
61,0.8571428571428571
62,0.7142857142857143
63,0.8809523809523809
64,0.8809523809523809
65,0.7857142857142857
66,0.8333333333333334
67,0.7380952380952381
68,0.8809523809523809
69,0.7380952380952381
70,0.8095238095238095
71,1.0
72,0.7142857142857143
73,0.8333333333333334
74,0.8571428571428571
75,0.8095238095238095
76,1.0
77,0.7619047619047619
78,1.0
79,0.8095238095238095
80,0.7380952380952381
81,0.8571428571428571
82,0.8095238095238095
83,1.0
84,0.8571428571428571
85,1.0
86,0.7380952380952381
87,0.7619047619047619
88,0.8809523809523809
89,0.8571428571428571
90,0.8095238095238095
91,0.8809523809523809
92,0.7380952380952381
93,0.9047619047619048
94,0.8095238095238095
95,0.7857142857142857
96,0.8333333333333334
97,0.7142857142857143
98,0.7619047619047619
99,0.9047619047619048
