,F1_macro
0,0.772420634920635
1,0.7316010415006112
2,0.7904383198500845
3,0.7904761904761904
4,0.8761904761904762
5,1.0
6,0.6457671957671958
7,0.6635582951372425
8,0.8059405025868441
9,0.5078703703703704
10,0.8662907596817903
11,0.7381507381507381
12,1.0
13,1.0
14,1.0
15,0.7555555555555555
16,0.7755112096575512
17,0.772420634920635
18,0.8621212121212122
19,0.7108472108472109
20,1.0
21,0.9069444444444444
22,0.7323460852872617
23,0.8510203247045353
24,0.8296296296296296
25,0.8851416782451264
26,0.7911764705882353
27,0.7601887601887601
28,0.7405405405405405
29,1.0
30,0.8278879015721121
31,0.7407407407407408
32,0.6942644001467531
33,0.6411764705882352
34,0.5401987353206865
35,0.8729764858797117
36,0.7941176470588235
37,0.771569352057157
38,0.7338624338624339
39,0.6632127105584781
40,0.6391812865497076
41,0.6905982905982905
42,0.6640324535061377
43,0.9055242860120908
44,0.8105006105006106
45,0.7565476190476191
46,0.7523809523809524
47,0.6271078771078771
48,0.7238095238095239
49,0.6350381644499291
50,1.0
51,0.8036645525017617
52,0.7755112096575512
53,0.7495798319327731
54,1.0
55,0.7680314309346569
56,0.8235814364846622
57,0.7890097890097891
58,0.7481586513844579
59,0.7970416236670106
60,0.8704903999021646
61,0.7911764705882353
62,0.6378378378378379
63,0.8682539682539682
64,0.8569393569393569
65,0.7707749766573295
66,0.8036645525017617
67,0.6638176638176638
68,0.8107843137254903
69,0.6583638583638584
70,0.7680911680911681
71,1.0
72,0.704075504075504
73,0.8020760601405762
74,0.8107352041262348
75,0.789792663476874
76,1.0
77,0.7118482118482118
78,1.0
79,0.7904383198500845
80,0.6567251461988303
81,0.8512043512043513
82,0.7904383198500845
83,1.0
84,0.7911764705882353
85,1.0
86,0.7077991452991452
87,0.6809116809116809
88,0.8107843137254903
89,0.846031746031746
90,0.7585585585585587
91,0.8701410388716889
92,0.721063921063921
93,0.8621212121212122
94,0.7777777777777777
95,0.6444444444444445
96,0.7876678876678876
97,0.5225718194254446
98,0.6754578754578754
99,0.8613282142693907
