,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,RDKit_0,RDKit_1,RDKit_2,RDKit_3,RDKit_4,RDKit_5,RDKit_6,RDKit_7
HOMO,1.0,0.8399168550405891,0.05868047228722716,0.21094589473883277,0.3561440106033914,0.4956005286775101,0.3234673175200403,0.16232056579424775,0.025407905090991913,0.45854097789399273,0.3702200867566615,0.3095731030828279,0.42003668826033125,0.39355464589131434
LUMO,0.8399168550405891,1.0,0.40817879931086115,0.4610678969953992,0.016356552044838046,0.5862306064439842,0.5288731564061376,0.25708665513430035,0.00799501132610023,0.3502395600763886,0.2680364066701328,0.17733652877497486,0.2519265717112537,0.34877201378671
E_S1,0.05868047228722716,0.40817879931086115,1.0,0.5127937621396632,0.8007043760115865,0.18950807585923612,0.554048286894177,0.010475736283297203,0.28644944229813435,0.1450975587511342,0.05803286920414811,0.20240276698747717,0.24491834762408343,0.1065999088919541
f_S1,0.21094589473883277,0.4610678969953992,0.5127937621396632,1.0,0.14599574608071367,0.5308677042139281,0.34512266080006987,0.06852220590054071,0.015527620075013971,0.06477692815864801,0.12197872405407559,0.2746281813598419,0.2244447390301524,0.13552340365171126
E_T1,0.3561440106033914,0.016356552044838046,0.8007043760115865,0.14599574608071367,1.0,0.4364642727498063,0.14597116609376912,0.1678892202279489,0.28350067228734804,0.2792425630302935,0.1304412535845193,0.34111656709925947,0.2295594015495383,0.06533356468948182
dEST,0.4956005286775101,0.5862306064439842,0.18950807585923612,0.5308677042139281,0.4364642727498063,1.0,0.5928677390984893,0.2594427325858264,0.03445175111317736,0.23976750904444358,0.12663867354365602,0.25511499864809734,0.008415301518362167,0.05301737819724241
RDKit_0,0.3234673175200403,0.5288731564061376,0.554048286894177,0.34512266080006987,0.14597116609376912,0.5928677390984893,1.0,1.1273377959564484e-14,5.7263256961677895e-15,1.530676486203748e-16,1.9354405738849e-17,2.3370368717832965e-16,3.6503666221022015e-17,2.690256272513998e-16
RDKit_1,0.16232056579424775,0.25708665513430035,0.010475736283297203,0.06852220590054071,0.1678892202279489,0.2594427325858264,1.1273377959564484e-14,1.0,4.91217053226167e-16,5.989230516196057e-16,2.3381505876856655e-16,1.2487233867274125e-16,5.615347541961658e-16,3.4027779681960296e-16
RDKit_2,0.025407905090991913,0.00799501132610023,0.28644944229813435,0.015527620075013971,0.28350067228734804,0.03445175111317736,5.7263256961677895e-15,4.91217053226167e-16,1.0,8.668143552817632e-17,3.4208130435890304e-16,8.851324885716663e-17,1.6874651203957087e-16,1.0718811843519279e-17
RDKit_3,0.45854097789399273,0.3502395600763886,0.1450975587511342,0.06477692815864801,0.2792425630302935,0.23976750904444358,1.530676486203748e-16,5.989230516196057e-16,8.668143552817632e-17,1.0,5.270978307494169e-16,3.225347407485993e-17,8.660230655039807e-16,8.277962761704414e-16
RDKit_4,0.3702200867566615,0.2680364066701328,0.05803286920414811,0.12197872405407559,0.1304412535845193,0.12663867354365602,1.9354405738849e-17,2.3381505876856655e-16,3.4208130435890304e-16,5.270978307494169e-16,1.0,3.857725074593618e-16,2.112997107361744e-18,2.6347575870903003e-16
RDKit_5,0.3095731030828279,0.17733652877497486,0.20240276698747717,0.2746281813598419,0.34111656709925947,0.25511499864809734,2.3370368717832965e-16,1.2487233867274125e-16,8.851324885716663e-17,3.225347407485993e-17,3.857725074593618e-16,1.0,4.109406103039966e-16,5.534788109126437e-16
RDKit_6,0.42003668826033125,0.2519265717112537,0.24491834762408343,0.2244447390301524,0.2295594015495383,0.008415301518362167,3.6503666221022015e-17,5.615347541961658e-16,1.6874651203957087e-16,8.660230655039807e-16,2.112997107361744e-18,4.109406103039966e-16,1.0,1.0654591290049404e-16
RDKit_7,0.39355464589131434,0.34877201378671,0.1065999088919541,0.13552340365171126,0.06533356468948182,0.05301737819724241,2.690256272513998e-16,3.4027779681960296e-16,1.0718811843519279e-17,8.277962761704414e-16,2.6347575870903003e-16,5.534788109126437e-16,1.0654591290049404e-16,1.0
